movie_id,title,genres,year,avg_rating,rating_count,tags,tmdb_id,tmdb_title,overview,runtime,release_date,tmdb_vote_average,tmdb_vote_count,director,cast_top3,tmdb_genres,poster_path,popularity
1,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1995,3.9209302325581397,215.0,"['fun', 'pixar']",862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",81,1995-11-22,7.971,19665,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,Family|Comedy|Animation|Adventure,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,19.3183
2,Jumanji,"['Adventure', 'Children', 'Fantasy']",1995,3.4318181818181817,110.0,"['fantasy', 'game', 'magic board game', 'robin williams']",8844,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",104,1995-12-15,7.244,11182,Joe Johnston,Robin Williams|Kirsten Dunst|Bradley Pierce,Adventure|Fantasy|Family,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,3.1765
3,Grumpier Old Men,"['Comedy', 'Romance']",1995,3.2596153846153846,52.0,"['moldy', 'old']",15602,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",101,1995-12-22,6.5,421,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret,Romance|Comedy,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,2.1879
4,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",1995,2.357142857142857,7.0,,31357,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",127,1995-12-22,6.2,196,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine,Comedy|Drama|Romance,/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg,2.5399
5,Father of the Bride Part II,['Comedy'],1995,3.0714285714285716,49.0,"['pregnancy', 'remake']",11862,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",106,1995-12-08,6.3,795,Charles Shyer,Steve Martin|Diane Keaton|Martin Short,Comedy|Family,/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,1.9226
6,Heat,"['Action', 'Crime', 'Thriller']",1995,3.946078431372549,102.0,,949,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,170,1995-12-15,7.929,8182,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer,Crime|Drama|Action,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,16.054
7,Sabrina,"['Comedy', 'Romance']",1995,3.185185185185185,54.0,['remake'],11860,Sabrina,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter Sabrina, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.",127,1995-12-15,6.2,676,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear,Romance|Drama|Comedy,/i8PbLJDPU7vCwwscWD625oHbJy.jpg,6.0079
8,Tom and Huck,"['Adventure', 'Children']",1995,2.875,8.0,,45325,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",97,1995-12-22,5.3,205,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig,Family|Action|Adventure|Drama,/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,2.0114
9,Sudden Death,['Action'],1995,3.125,16.0,,9091,Sudden Death,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,111,1995-10-27,6.0,788,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry,Action|Drama|Thriller|Crime,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,2.5884
10,GoldenEye,"['Action', 'Adventure', 'Thriller']",1995,3.496212121212121,132.0,,710,GoldenEye,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",130,1995-11-16,6.9,4264,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco,Adventure|Action|Thriller,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,8.1919
